"Action","Action"
"Backup file ""%s"" can't read or write","Backup file ""%s"" can't read or write"
"Backup file ""%s"" doesn't exist","Backup file ""%s"" doesn't exist"
"Backup file handler don't specify","Backup file handler don't specify"
"Backup file path don't specify","Backup file path don't specify"
"Database was successfuly backed up.","Database was successfuly backed up."
"Error write to Backup file ""%s""","Error write to Backup file ""%s"""
"Size, byte","Size, byte"
"Unable to create backup. Please, try again later.","Unable to create backup. Please, try again later."
"Wrong order of creation for new backup","Невірний порядок створення для нової резервної копії"
"Cannot read backup file","Неможливо прочитати резервну копію"
"Backups","Резервні копії"
"Backup file doesn't exist","Резервної копії не існує"
"Create Backup","Створити резервну копію"
"Type","Тип"
"File compressed with Zlib, but this extension is not installed on server","Файл стиснено за допомогою  Zlib, проте цей модуль не встановлений на сервері"
"Time","Час"
"Download","Завантажити"
"DB","База даних"
"All types","Всі типи"
