"There are no %s available."," %s немає в наявності."
"# of Use","# використання"
"%1$s incl tax.","%1$s incl tax."
"Product %s successfully removed from compare list","%s  був успішно видалений зі списку порівняння"
"%s - %s","%s - %s"
"%s Item(s)","%s шт."
"Product %s successfully added to compare list","%s був успішно доданий до списку порівняння"
"(Copy data from: %s)","(Копіювати дані з: %s)"
"(Will make search for the query above return results for this search.)","(При пошуку синоніму ,спершу будуть відображені результати пошуку по синоніму, а потім добалені результати пошуку по основному слову.)"
"* Required Fields","* Required Fields"
"None","-"
"Nowhere","-"
"-- Please Select --","-- Please Select --"
"Add New Option","Add New Option"
"Add New Row","Add New Row"
"Add Product To Websites","Add Product To Websites"
"Add Root Category","Add Root Category"
"Add Subcategory","Add Subcategory"
"Add Tax","Add Tax"
"All products of this set will be deleted! Are you sure you want to delete this attribute set?","All products of this set will be deleted! Are you sure you want to delete this attribute set?"
"Allow HTML-tags on Front-end","Allow HTML-tags on Front-end"
"Allowed File Extensions","Allowed File Extensions"
"Allowed file extensions to upload","Allowed file extensions to upload"
"AM","AM"
"Amount","Amount"
"Are you sure you would like to remove all products from your comparison?","Are you sure you would like to remove all products from your comparison?"
"Assign","Assign"
"Assign product link","Assign product link"
"Assign product to category","Assign product to category"
"Assigned Products","Assigned Products"
"Attribute group with the ""/name/"" name already exists","Attribute group with the ""/name/"" name already exists"
"Attrribute names can be specified per store.","Attrribute names can be specified per store."
"Availability","Availability"
"Block after Info Column","Block after Info Column"
"Buy %1$s for %2$s","Buy %1$s for %2$s"
"Buy %1$s for %2$s (%3$s incl. tax) each","Buy %1$s for %2$s (%3$s incl. tax) each"
"Buy %1$s for %2$s each","Buy %1$s for %2$s each"
"cache refresh needed","cache refresh needed"
"Cannot create writeable directory '%s'","Cannot create writeable directory '%s'"
"Can't create image.","Can't create image."
"Catalog Section","Catalog Section"
"categories","categories"
"Category API","Category API"
"Category attributes API","Category attributes API"
"Category must be instance of Mage_Catalog_Model_Category","Category must be instance of Mage_Catalog_Model_Category"
"Category Top Navigation","Category Top Navigation"
"Category URL Suffix","Category URL Suffix"
"Change or Retrieve attribute store view","Change or Retrieve attribute store view"
"Check items to add to the cart or","Check items to add to the cart or"
"Clear All","Clear All"
"Collapse All","Collapse All"
"comma separated","comma separated"
"Compare Products (%d)","Compare Products (%d)"
"Copy From Configurable","Copy From Configurable"
"Country/State","Country/State"
"Create","Create"
"Create (Upload)","Create (Upload)"
"Create new category","Create new category"
"Create new product","Create new product"
"Custom Options","Custom Options"
"Date & Time Custom Options","Date & Time Custom Options"
"Date fields order","Date fields order"
"Delete category","Delete category"
"Delete product","Delete product"
"Delete Row","Delete Row"
"Depends on design theme","Depends on design theme"
"Double click on above image to view full picture","Double click on above image to view full picture"
"Duplicate website, country and state tax found.","Duplicate website, country and state tax found."
"each","each"
"Email","Email"
"Expand All","Expand All"
"File options format is not valid","File options format is not valid"
"File upload failed","File upload failed"
"Flat Catalog module has a limit of %2$d filterable and/or sort able attributes. Currently there are %1$d. Please reduce the number of filterable/sort able attributes in order to use this module.","Flat Catalog module has a limit of %2$d filterable and/or sort able attributes. Currently there are %1$d. Please reduce the number of filterable/sort able attributes in order to use this module."
"For reindex enabled product(s) you need specify store or product","For reindex enabled product(s) you need specify store or product"
"Get special price","Get special price"
"Globally Editable","Globally Editable"
"ID","ID"
"ID: %s","ID: %s"
"If you do not specify an option value for a specific store view then the default (Admin) value will be used.","If you do not specify an option value for a specific store view then the default (Admin) value will be used."
"Image content is not valid base64 data.","Image content is not valid base64 data."
"Image not specified.","Image not specified."
"In stock.","In stock."
"Incl. Tax","Incl. Tax"
"Input Type","Input Type"
"Invalid attribute %s","Invalid attribute %s"
"Invalid category","Invalid category"
"Invalid image type.","Invalid image type."
"Invalid Tier Prices","Invalid Tier Prices"
"Is Required","Is Required"
"leave blank if its not an image","leave blank if its not an image"
"Length of text is too long","Length of text is too long"
"Link (Related, Up sell, Cross sell)","Link (Related, Up sell, Cross sell)"
"Link product not exists.","Link product not exists."
"Manage Stock","Manage Stock"
"Max Characters","Max Characters"
"Maximal Depth","Maximal Depth"
"Maximum image height","Maximum image height"
"Maximum Image Size","Maximum Image Size"
"Maximum image width","Maximum image width"
"Maximum number of characters","Maximum number of characters"
"Minimum Lines Per Page","Minimum Lines Per Page"
"Move","Move"
"Move category in tree","Move category in tree"
"must be in the allowed values list","must be in the allowed values list"
"Not shared with other products","Not shared with other products"
"and","та"
"and above","та вище"
"Product In Websites","товар на сайті"
"per page","товарів на стор."
"Option validation failed to add product to cart","Option validation failed to add product to cart"
"Our customer service is available 24/7. Call us at (555) 555-0123.","Our customer service is available 24/7. Call us at (555) 555-0123."
"Please add rows to option.","Please add rows to option."
"Please be careful as once you click on the row it will load package data form the selected file and all unsaved form data will be lost.","Please be careful as once you click on the row it will load package data form the selected file and all unsaved form data will be lost."
"Please refresh ""Catalog Rewrites"" and ""Layered Navigation Indices"" in System -> <a href=""%s"">Cache Management</a>","Please refresh ""Catalog Rewrites"" and ""Layered Navigation Indices"" in System -> <a href=""%s"">Cache Management</a>"
"Please select  items","Please select  items"
"Please set up merge date/time .","Please set up merge date/time ."
"Please specify date required option(s)","Please specify date required option(s)"
"Please specify the product option(s)","Please specify the product option(s)"
"Please specify the product required option(s)","Please specify the product required option(s)"
"Please specify the product(s) quantity","Please specify the product(s) quantity"
"Please specify time required option(s)","Please specify time required option(s)"
"Please, use four-digit year format","Please, use four-digit year format"
"PM","PM"
"Price Type","Price Type"
"Product","Product"
"Product API","Product API"
"Product attribute sets API","Product attribute sets API"
"Product attributes API","Product attributes API"
"Product has required options","Product has required options"
"Product Images","Product Images"
"Product Images API","Product Images API"
"Product Info Column","Product Info Column"
"Product links API (related, cross sells, up sells)","Product links API (related, cross sells, up sells)"
"Product listing sort by","Product listing sort by"
"Product saving error. ","Product saving error. "
"Product Tier Price API","Product Tier Price API"
"Product types API","Product types API"
"Product URL Suffix","Product URL Suffix"
"products","products"
"Products per page on Grid allowed values","Products per page on Grid allowed values"
"Products per Page on List allowed values","Products per Page on List allowed values"
"px.","px."
"Qty for Item's Status to become Out of Stock","Qty for Item's Status to become Out of Stock"
"Records for ""","Records for """
"Remove product assignment","Remove product assignment"
"Remove product image","Remove product image"
"Remove product link","Remove product link"
"Retrieve attribute data","Retrieve attribute data"
"Retrieve attribute list","Retrieve attribute list"
"Retrieve attribute options","Retrieve attribute options"
"Retrieve categories tree","Retrieve categories tree"
"Retrieve category attributes","Retrieve category attributes"
"Retrieve category data","Retrieve category data"
"Retrieve hierarchical tree","Retrieve hierarchical tree"
"Retrieve linked products","Retrieve linked products"
"Retrieve list of assigned products","Retrieve list of assigned products"
"Retrieve one level of categories by website/store view/parent category","Retrieve one level of categories by website/store view/parent category"
"Retrieve product","Retrieve product"
"Retrieve product attribute sets","Retrieve product attribute sets"
"Retrieve product image","Retrieve product image"
"Retrieve product image list","Retrieve product image list"
"Retrieve product image types","Retrieve product image types"
"Retrieve product link type attributes","Retrieve product link type attributes"
"Retrieve product link types","Retrieve product link types"
"Retrieve product tier prices","Retrieve product tier prices"
"Retrieve product types","Retrieve product types"
"Retrieve products data","Retrieve products data"
"Retrieve products list by filters","Retrieve products list by filters"
"Notify Low Stock RSS","RSS товарів, що закінчуються"
"Pending Reviews RSS","RSS відгуків, що очікують підтвердження"
"save","save"
"Select type of option","Select type of option"
"Select type options required values rows.","Select type options required values rows."
"Selected configuration is not available.","Selected configuration is not available."
"Set special price","Set special price"
"Set/Get current store view","Set/Get current store view"
"Shop by","Shop by"
"Show Details","Show Details"
"Show Tags","Show Tags"
"Sitemap","Sitemap"
"Tax","Tax"
"There was an error while cleared compare list","There was an error while cleared compare list"
"There was an error while updating product(s) status","There was an error while updating product(s) status"
