"%s is not correct comparsion method.","%s is not correct comparsion method."
"<strong>Please note</strong>, that these Settings are applicable to cart line Items, not the whole Cart.","<strong>Please note</strong>, that these Settings are applicable to cart line Items, not the whole Cart."
"Allow Qty Below 0","Allow Qty Below 0"
"Catalog Inventory","Catalog Inventory"
"In Stock","In Stock"
"Inventory API","Inventory API"
"Inventory Section","Inventory Section"
"Manage Stock","Manage Stock"
"Out of Stock","Out of Stock"
"Product Stock Options","Product Stock Options"
"Qty for Items' Status to become Out of Stock","Qty for Items' Status to become Out of Stock"
"Retrieve stock data","Retrieve stock data"
"Retrieve stock data by product ids","Retrieve stock data by product ids"
"Set Items' Status to be In Stock When Order is Cancelled","Set Items' Status to be In Stock When Order is Cancelled"
"Some of the products are currently out of stock","Some of the products are currently out of stock"
"Some of the products can not be ordered in requested quantity","Some of the products can not be ordered in requested quantity"
"Some of the products cannot be ordered in the requested quantity","Some of the products cannot be ordered in the requested quantity"
"Stock item for Product in option is not valid","Stock item for Product in option is not valid"
"Stock item for Product is not valid","Stock item for Product is not valid"
"The maximum quantity allowed for purchase is %s.","The maximum quantity allowed for purchase is %s."
"The minimum quantity allowed for purchase is %s.","The minimum quantity allowed for purchase is %s."
"This product is currently out of stock.","This product is currently out of stock."
"Update","Update"
"Update product stock data","Update product stock data"
"Notify for Quantity Below","Повідомити про кількість нижче"
"Backorders","Попереднє замовлення"
"No Backorders","Попереднє замовлення недоступне"
"Update the Product","Оновити продукт"
"Inventory","Асортимент"
"Can not specify product identifier for order item","Неможливо визначити ідентифікатор товару для замовлення"
"The requested quantity for ""%s"" is not available.","Необхідна кількість у розмірі ""%s"" недоступна."
"The requested quantity is not available.","Необхідна кількість недоступна."
"Rule price","Ціна для правила"
"Minimum Qty Allowed in Shopping Cart","Мінімальна кількість дозволена в кошику"
"Maximum Qty Allowed in Shopping Cart","Максимальна кількість дозволена в кошику"
"By Fixed value","За фіксованим значенням"
"By Percentage","За відсотковим співвідношенням"
"Decrease Stock When Order is Placed","Зменшити кількість товару при розміщенні замовлення"
"Stock Options","Варіанти наявності товару"
"To Fixed Value","До фіксованого значення"
"To Percentage","До відсоткового співвідношення"
"Allow Qty Below 0 and Notify Customer","Дозволити кількість нижче 0 та повідомити клієнта"
