"%s was successfully added to your shopping cart.","%s was successfully added to your shopping cart."
"&laquo; Back to Billing Information","&laquo; Повернутись до інформації про оплату"
"&laquo; Back to Select Addresses","&laquo; Повернутись до вибору адреси"
"&laquo; Back to Shopping Cart","&laquo; Повернутись до кошику"
"* Required Fields","* Обов'язкові поля"
"Add New Condition","Add New Condition"
"An error occurred in the process of payment","An error occurred in the process of payment"
"Can't open overview page","Can't open overview page"
"Change","Change"
"Checkbox text","Checkbox text"
"Checkout Conditions","Checkout Conditions"
"Checkout Section","Checkout Section"
"Checkout Terms and Conditions","Checkout Terms and Conditions"
"Click <a href=""%s"" onclick=""this.target='_blank'"">here to print</a> a copy of your order confirmation.","Click <a href=""%s"" onclick=""this.target='_blank'"">here to print</a> a copy of your order confirmation."
"Condition Name","Condition Name"
"Condition was successfully deleted","Condition was successfully deleted"
"Condition was successfully saved","Condition was successfully saved"
"Content","Content"
"Content Height","Content Height"
"Content Height (css)","Content Height (css)"
"Coupon code ""%s"" was applied successfully.","Coupon code ""%s"" was applied successfully."
"Customer Address is not valid.","Customer Address is not valid."
"Delete Condition","Delete Condition"
"Details","Details"
"Disable Onepage Checkout","Disable Onepage Checkout"
"Disabled","Disabled"
"Display Shopping Cart Sidebar","Display Shopping Cart Sidebar"
"Edit Terms and Conditions","Edit Terms and Conditions"
"Email Address","Email адреса"
"Enable Terms and Conditions","Enable Terms and Conditions"
"Enabled","Enabled"
"Error while deleting this condition. Please try again later.","Error while deleting this condition. Please try again later."
"Error while saving this condition. Please try again later.","Error while saving this condition. Please try again later."
"Excl. Tax","Excl. Tax"
"HTML","HTML"
"ID","ID"
"Incl. Tax","Incl. Tax"
"Invalid email address ""%s""","Invalid email address ""%s"""
"Manage Checkout Terms and Conditions","Manage Checkout Terms and Conditions"
"Maximum display Recently added item(s)","Maximum display Recently added item(s)"
"New Condition","New Condition"
"Submitting order information...","інформації про оформлення замовлення..."
"Order #","Order #"
"osCommerce Orders","osCommerce Orders"
"Other items in your order","Other items in your order"
"Payment Failed Email Reciever","Payment Failed Email Reciever"
"Payment Failed Email Sender","Payment Failed Email Sender"
"Payment Failed Emails","Payment Failed Emails"
"Payment Failed Template","Payment Failed Template"
"Please agree to all Terms and Conditions before placing the order.","Please agree to all Terms and Conditions before placing the order."
"Please agree to all Terms and Conditions before placing the orders.","Please agree to all Terms and Conditions before placing the orders."
"Please select shipping address for applicable items","Please select shipping address for applicable items"
"Remove item","Remove item"
"Sales","Sales"
"Save Condition","Save Condition"
"Send Payment Failed Email Copy Method","Send Payment Failed Email Copy Method"
"Send Payment Failed Email Copy To","Send Payment Failed Email Copy To"
"separate by "",""","separate by "","""
"Shipping selection is not applicable","Shipping selection is not applicable"
"Shopping Cart Sidebar","Shopping Cart Sidebar"
"Show Content as","Show Content as"
"Sorry, guest checkout is not enabled. Please try again or contact store owner.","Sorry, guest checkout is not enabled. Please try again or contact store owner."
"Sorry, no quotes are available for this order at this time.","Sorry, no quotes are available for this order at this time."
"Sorry, Onepage Checkout is disabled.","Sorry, Onepage Checkout is disabled."
"Status","Status"
"Store View","Store View"
"Street Address ","Street Address "
"Terms and Conditions","Terms and Conditions"
"Terms and conditions","Terms and conditions"
"Terms and Conditions Information","Terms and Conditions Information"
"Text","Text"
"This condition no longer exists","This condition no longer exists"
"Total","Total"
"Your order # is: <a href=""%s"">%s</a>","Your order # is: <a href=""%s"">%s</a>"
"Your order number is ","Your order number is "
"Qty","Кількість"
"Display item quantities","Кількість товару"
"Display number of items in cart","Кількість найменувань товару"
"Country","Країна"
"Shopping Cart","Кошик"
"Shopping Cart is Empty","Кошик пустий"
"Coupon code ""%s"" is not valid.","Код сертифікату ""%s"" недійсний."
"Coupon code was canceled successfully.","Код сертифікату був успішно відмінений."
"Discount Codes","Коди знижок"
"Company","Компанія"
"After adding a product redirect to shopping cart","Після додавання товару перейти до кошика"
"Confirm Password","Підтвердження паролю"
"Data saving problem","Проблема збереження даних"
