"* Required Fields","* Required Fields"
"Contacts Section","Contacts Section"
"Email","Email"
"Email Template","Email шаблон"
"Your inquiry was submitted and will be responded to as soon as possible. Thank you for contacting us.","Your inquiry was submitted and will be responded to as soon as possible. Thank you for contacting us."
"Comment","Коментар"
"Contact Us","Контакти"
"Contacts","Контакти"
"Contact Information","Контактна інформація"
"Contact Form","Контактна форма"
"Send Emails To","Надсилати листи до"
"Submit","Надіслати"
"Unable to submit your request. Please, try again later","Невдалось надіслати Ваш запит. Будь-ласка, спробуйте пізніше ще раз"
"Telephone","Телефон"
"Enable Contact Us","Увімкнути можливість контактувати з Нами"
"Email Sender","Відправник Email"
"Email Options","Варіанти Email"
"Name","Ім'я"
