"%s already exist","%s вже існують"
"%s already exists","%s вже існує"
"-- Please Select --","-- Please Select --"
"Add Block Names to Hints","Add Block Names to Hints"
"Add Secret Key to URLs","Add Secret Key to URLs"
"Admin","Admin"
"Admin Base URL","Admin Base URL"
"Admin User Emails","Admin User Emails"
"Backup options","Backup options"
"Base Skin URL","Base URL скіна"
"Base Media URL","Base URL медіа"
"Blocks HTML output","Blocks HTML output"
"Cannot complete this operation from non-admin area.","Cannot complete this operation from non-admin area."
"Can't retrieve entity config: %s","Can't retrieve entity config: %s"
"Category object is required for determining product request path","Category object is required for determining product request path"
"Collections Data","Collections Data"
"Configuration","Configuration"
"Cookie Domain","Cookie домен"
"Copyright","Copyright"
"Custom admin URL","Custom admin URL"
"Date/time format ""%s"" is not supported.","Date/time format ""%s"" is not supported."
"Default Description","Default Description"
"Default Keywords","Default Keywords"
"Default no-route url","Default no-route url"
"Default Robots","Default Robots"
"Default Title","Default Title"
"Deleting a %1$s will not delete the information associated with the %1$s (e.g. categories, products, etc.), but the %1$s will not be able to be restored. It is suggested that you create a database backup before deleting the %1$s.","Deleting a %1$s will not delete the information associated with the %1$s (e.g. categories, products, etc.), but the %1$s will not be able to be restored. It is suggested that you create a database backup before deleting the %1$s."
"Store Email Addresses","Email адреси групи магазинів"
"Error: Passwords do not match","Error: Passwords do not match"
"Exceptions Log File Name","Exceptions Log File Name"
"First Day of Week","First Day of Week"
"Footer","Footer"
"Header","Header"
"HTML Head","HTML Head"
"Id path for specified store","Id шлях для визначеної групи магазинів"
"Incorrect credit card expiration date","Incorrect credit card expiration date"
"Invalid layout update handle","Invalid layout update handle"
"Layouts","Layouts"
"Log Settings","Log Settings"
"Logging from Mage::log(). File is located in {{base_dir}}/var/log","Logging from Mage::log(). File is located in {{base_dir}}/var/log"
"Logging from Mage::logException(). File is located in {{base_dir}}/var/log","Logging from Mage::logException(). File is located in {{base_dir}}/var/log"
"Logo Image Alt","Logo Image Alt"
"Logo Image Src","Logo Image Src"
"Match expressions in the same order as displayed in the configuration.","Match expressions in the same order as displayed in the configuration."
"Miscellaneous HTML","Miscellaneous HTML"
"Miscellaneous scripts","Miscellaneous scripts"
"Module ""%1$s"" can not be depended from ""%2$s""","Module ""%1$s"" can not be depended from ""%2$s"""
"Module ""%1$s"" requires module ""%2$s""","Module ""%1$s"" requires module ""%2$s"""
"No","No"
"Please choose to register or to checkout as a guest","Please choose to register or to checkout as a guest"
"Please define flag code.","Please define flag code."
"Please make sure that Base URL ends with '/' (slash), e.g. http://yourdomain/magento/","Please make sure that Base URL ends with '/' (slash), e.g. http://yourdomain/magento/"
"Please specify payment method.","Please specify payment method."
"Please specify shipping method.","Please specify shipping method."
"Please use letters only (a-z or A-Z) in this field.","Please use letters only (a-z or A-Z) in this field."
"Polls","Polls"
"Prototype Deprecation Log","Prototype Deprecation Log"
"Requested invalid store ""%s""","Requested invalid store ""%s"""
"Security","Security"
"Select Date","Select Date"
"Session Lifetime, Seconds","Session Lifetime, Seconds"
"Session Validation Settings","Session Validation Settings"
"SMTP settings (Windows server only)","SMTP налаштування (виключно для Windows server )"
"Specified date/time ""%1$s"" do not match format ""%2$s"".","Specified date/time ""%1$s"" do not match format ""%2$s""."
"Specify either category or product, or both.","Specify either category or product, or both."
"Startup page","Startup page"
"Store doesn't exist","Store doesn't exist"
"Store View","Store View"
"Store view doesn't exist","Store view doesn't exist"
"Store view was successfully deleted.","Store view was successfully deleted."
"System Log File Name","System Log File Name"
"The %s you entered is invalid. Please make sure that it follows ""http://domain.com/"" format.","The %s you entered is invalid. Please make sure that it follows ""http://domain.com/"" format."
