"* Required Fields","* Required Fields"
"Always optional","Always optional"
"Array of Entity collections is expected","Array of Entity collections is expected"
"Bad request.","Bad request."
"Bill to Name","Bill to Name"
"Can't share customer accounts global. Because some customer accounts with same emails exist on multiple websites and cannot be merged.","Can't share customer accounts global. Because some customer accounts with same emails exist on multiple websites and cannot be merged."
"Confirmation Link Email","Confirmation Link Email"
"Confirmed","Confirmed"
"Create","Create"
"Create customer","Create customer"
"Create customer address","Create customer address"
"CSV","CSV"
"Customer Api","Customer Api"
"Customer collection expected","Customer collection expected"
"Customer View","Customer View"
"Customer website id must be specified, when using website scope.","Customer website id must be specified, when using website scope."
"Customers Section","Customers Section"
"Date of Birth","Date of Birth"
"Date of Birth is required.","Date of Birth is required."
"Day","Day"
"DD","DD"
"Default Welcome Email","Default Welcome Email"
"Delete customer","Delete customer"
"Delete customer address","Delete customer address"
"Edit Account Info","Edit Account Info"
"Email","Email"
"Email Address","Email адреса"
"Default Email Domain","Email домен за замовчуванням"
"Entity collection is expected","Entity collection is expected"
"Failed to confirm customer account.","Failed to confirm customer account."
"First name can't be empty","First name can't be empty"
"HTML","HTML"
"ID","ID"
"Product ID","ID товару"
"Invalid email address ""%s""","Invalid email address ""%s"""
"Invalid login or password.","Invalid login or password."
"IP Address","IP адреса"
"Last name can't be empty","Last name can't be empty"
"Leave empty for default (15 minutes).","Leave empty for default (15 minutes)."
"Leave empty for default (2). Valid range: 1-4","Leave empty for default (2). Valid range: 1-4"
"Log in or Create an Account","Log in or Create an Account"
"M.I.","M.I."
"MM","MM"
"Month","Month"
"My Account Dashboard","My Account Dashboard"
"Name and Address Options","Name and Address Options"
"New account confirmation key","New account confirmation key"
"New account confirmed","New account confirmed"
"New password","New password"
"Newsletter Subscription","Newsletter Subscription"
"No item specified.","No item specified."
"Not confirmed, can login","Not confirmed, can login"
"Not confirmed, cannot login","Not confirmed, cannot login"
"Number of lines in a street address ","Number of lines in a street address "
"Online Customers Options","Online Customers Options"
"Online Minutes Interval","Online Minutes Interval"
"Password can't be empty","Password can't be empty"
"Password fields can't be empty.","Password fields can't be empty."
"Password forgotten","Password forgotten"
"Password minimal length must be more %s","Password minimal length must be more %s"
"PDF","PDF"
"Please enter your email below and we'll send you confirmation link for it.","Please enter your email below and we'll send you confirmation link for it."
"Please, check your e-mail for confirmation key.","Please, check your e-mail for confirmation key."
"Prefix","Prefix"
"Prefix dropdown options","Prefix dropdown options"
"Require Emails Confirmation","Require Emails Confirmation"
"Retrieve address data","Retrieve address data"
"Retrieve address info","Retrieve address info"
"Retrieve customer addresses","Retrieve customer addresses"
"Retrieve customer data","Retrieve customer data"
"Retrieve customer's groups","Retrieve customer's groups"
"Retrieve customers","Retrieve customers"
"Retrieve customers info","Retrieve customers info"
"Retrieve your confirmation link here","Retrieve your confirmation link here"
"Save And Continue Edit","Save And Continue Edit"
"Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field.","Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field."
"Send confirmation link","Send confirmation link"
"Send Welcome Email after Confirmation","Send Welcome Email after Confirmation"
"Show date of birth","Show date of birth"
"Show middle name (initial)","Show middle name (initial)"
"Show prefix","Show prefix"
"Show suffix","Show suffix"
"Show Tax/VAT number","Show Tax/VAT number"
"Street Address ","Street Address "
"Suffix","Suffix"
"Suffix dropdown options","Suffix dropdown options"
"Tax/VAT number","Tax/VAT number"
"TAX/VAT number is required.","TAX/VAT number is required."
"The suffix that goes after name (Jr., Sr., etc.)","The suffix that goes after name (Jr., Sr., etc.)"
"The title that goes before name (Mr., Mrs., etc.)","The title that goes before name (Mr., Mrs., etc.)"
"This account is not confirmed.","This account is not confirmed."
"This e-mail does not require confirmation.","This e-mail does not require confirmation."
"This Email will be sent instead of Default Welcome Email, after Account Confirmation.","This Email will be sent instead of Default Welcome Email, after Account Confirmation."
