"Attempt to add an invalid object","Attempt to add an invalid object"
"Attribute set with the ""%s"" name already exists","Attribute set with the ""%s"" name already exists"
"Default Product Listing Sort by not exists on Available Product Listing Sort by","Default Product Listing Sort by not exists on Available Product Listing Sort by"
"EAV types and attributes","EAV types and attributes"
"Entity collection expected","Entity collection expected"
"Entity collections expected","Entity collections expected"
"Entity is not initialized","Entity is not initialized"
"Failed to load node %s from config.","Failed to load node %s from config."
"Joined field or attribute expression with this alias is already declared","Joined field or attribute expression with this alias is already declared"
"Joined field with this alias (%s) is already declared","Joined field with this alias (%s) is already declared"
"Joined field with this alias is already declared","Joined field with this alias is already declared"
"No options found in config node %s","No options found in config node %s"
"Scope must not be changed, because the attribute is used in configurable products.","Scope must not be changed, because the attribute is used in configurable products."
"The attribute code '%s' is reserved by system. Please, try another attribute code.","The attribute code '%s' is reserved by system. Please, try another attribute code."
"Valid store_id is expected!","Valid store_id is expected!"
"Problem loading the collection, aborting. Error: %s","Проблема завантаження колекції, відміна операції. Помилка: %s"
"Problem loading a record, aborting. Error: %s","Помилка завантаження запису, відміна операції. Помилка: %s"
"Problem saving a record, aborting. Error: ","Помилка збереження запису, відміна операції. Помилка: "
"Problem saving the collection, aborting. Error: %s","Помилка збереження колекції, відміна операції. Помилка: %s"
"Attribute '%s' used in configurable products.","Атрибут '%s' використовується в конфігурованих товарах."
"Attribute used in configurable products.","Атрибут використовується в конфігурованих товарах."
"Attribute with the same code","Атрибут з ідентичним кодом"
"No","Ні"
"Invalid attribute name: %s","Невірна назва атрибута: %s"
"Invalid entity_id, skipping the record","Невірний entity_id, пропуск запису"
"Wrong attribute ID","Невірний ID атрибуту"
"Wrong attribute group ID","Невірний ID групи атрибутів"
"Wrong attribute set ID","Невірний ID набору атрибутів"
"Wrong entity ID","Невірний ID об'єкту"
"Invalid character encountered in increment ID: %s","Невірний символ в ID інкримента: %s"
"Invalid attribute type","Невірний тип атрибуту"
"Invalid entity type","Невірний тип об'єкту"
"Invalid foreign key","Невірний зовнішній ключ"
"Invalid data object key","Невірний ключ даних об'єкта"
"Invalid alias, already exists in joined attributes","Невірний псевдонім. Це значення вже існує в приєднаних атрибутах"
"Invalid joined fields","Невірно прєднані поля"
"Unknown parameter","Невідомий параметр"
"Yes","Так"
"Data integrity: No header row found for attribute","Цілісність даних: Не знайдено рядка заголовку для атрибуту"
"Frontend label is not defined","Мітка зовнішнього інтерфейсу не задана"
"Loaded %d records","Завантажено %d записів"
"Invalid store specified","Задана невірна група магазинів"
"Invalid entity specified","Заданий невірний об'єкт"
"Invalid entity_type specified: %s","Задано невірний entity_type : %s"
"Saved ","Збережено "
"Invalid attribute requested: %s","Здійснено запит невірного атрибуту: %s"
"Value of attribute ""%s"" must be unique","Знчення атрибуту ""%s"" повинно бути унікальним"
"Default option value is not defined","Варіант значення за замовчуванням не заданий"
"Invalid entity supplied","Доставлено невірний об'єкт"
"Invalid entity supplied: %s","Доставлено невірний об'єкт: %s"
