"* Select shipping method","* Select shipping method"
"Add","Add"
"Add Shipping Method","Add Shipping Method"
"Allowed Methods","Allowed Methods"
"AVS Status: %s","AVS Статус: %s"
"Carrier Calculated Methods","Carrier Calculated Methods"
"CID Status: %s","CID Status: %s"
"Continue Shopping URL","Continue Shopping URL"
"Default Package Height (in)","Default Package Height (in)"
"Default Package Length (in)","Default Package Length (in)"
"Default Package Width (in)","Default Package Width (in)"
"Default price for methods","Default price for methods"
"Delivery Address Category","Delivery Address Category"
"Delivery schedule","Delivery schedule"
"Disable Default Tax Tables","Disable Default Tax Tables"
"Eligible for protection: %s","Eligible for protection: %s"
"Enable Carrier Calculated","Enable Carrier Calculated"
"Enable Digital Delivery","Enable Digital Delivery"
"Enable Flat Rate","Enable Flat Rate"
"Enable Merchant Calculated","Enable Merchant Calculated"
"Enable this if your checkout request is too big and being cut off.","Enable this if your checkout request is too big and being cut off."
"Expiration: %s","Expiration: %s"
"Financial: %s -> %s","Financial: %s -> %s"
"Free Shipping","Free Shipping"
"Fulfillment: %s -> %s","Fulfillment: %s -> %s"
"Google API","Google API"
"Google Authorization:","Google Authorization:"
"Google Buyer Id: %s","Google Buyer Id: %s"
"Google Charge:","Google Charge:"
"Google Checkout","Google Checkout"
"Google Checkout Shipping - Carrier Calculated","Google Checkout Shipping - Carrier Calculated"
"Google Checkout Shipping - Digital Delivery","Google Checkout Shipping - Digital Delivery"
"Google Checkout Shipping - Flat Rate","Google Checkout Shipping - Flat Rate"
"Google Checkout Shipping - Merchant Calculated","Google Checkout Shipping - Merchant Calculated"
"Google Checkout: %s","Google Checkout: %s"
"Google Order Number: %s","Google Order Number: %s"
"Google order status change:","Google order status change:"
"Google Refund:","Google Refund:"
"Google Risk Information:","Google Risk Information:"
"Hide Cart Contents During Checkout","Hide Cart Contents During Checkout"
"Merchant ID","ID Продавця"
"If enabled, cart contents will be hidden after clicking on the Google Checkout button in the shopping cart, and restored if ""Edit Cart"" link was activated.","If enabled, cart contents will be hidden after clicking on the Google Checkout button in the shopping cart, and restored if ""Edit Cart"" link was activated."
"Invoice auto-created: %s","Invoice auto-created: %s"
"IP Address: %s","IP адреса: %s"
"Is Buyer Willing To Receive Marketing E-Mails: %s","Is Buyer Willing To Receive Marketing E-Mails: %s"
"Large - %s","Large - %s"
"Latest Charge: %s","Latest Charge: %s"
"Latest Refund: %s","Latest Refund: %s"
"Medium - %s","Medium - %s"
"Method","Method"
"No","No"
"Optional, leave empty for home page.","Optional, leave empty for home page."
"Rate 1 Amount","Rate 1 Amount"
"Rate 1 Ship To Applicable Countries","Rate 1 Ship To Applicable Countries"
"Rate 1 Ship to Specific Countries","Rate 1 Ship to Specific Countries"
"Rate 1 Title","Rate 1 Title"
"Rate 2 Amount","Rate 2 Amount"
"Rate 2 Ship To Applicable Countries","Rate 2 Ship To Applicable Countries"
"Rate 2 Ship to Specific Countries","Rate 2 Ship to Specific Countries"
"Rate 2 Title","Rate 2 Title"
"Rate 3 Amount","Rate 3 Amount"
"Rate 3 Ship To Applicable Countries","Rate 3 Ship To Applicable Countries"
"Rate 3 Ship to Specific Countries","Rate 3 Ship to Specific Countries"
"Rate 3 Title","Rate 3 Title"
"Remove","Remove"
"Required for live Google Checkout transactions.","Required for live Google Checkout transactions."
"Secure Callback URL","Secure Callback URL"
"Small - %s","Small - %s"
"Total Charged: %s","Total Charged: %s"
"Total Refunded: %s","Total Refunded: %s"
"Transparent","Transparent"
"United Kingdom","United Kingdom"
"United States","United States"
"Virtual item to reflect discount total","Virtual item to reflect discount total"
"White Background","White Background"
"You will be redirected to GoogleCheckout in a few seconds.","You will be redirected to GoogleCheckout in a few seconds."
"Merchant Key","Ключ продавця"
"Sandbox","Пісочниця"
"Buyer account age: %s days","Обліковий запис покупця створено: %s днів тому"
"Auto-generated from GoogleCheckout Charge","Автоматично згенеровано з GoogleCheckout Charge"
"Location","Адреса"
"Debug","Режим дебагу"
"New order status","Статус нового замовлення"
"Cart Discount","Снижка для кошика"
"Enable","Увімкнути"
"Default price:","Ціна за замовчуванням:"
"CC Partial: xxxx-%s","Часткове CC : xxxx-%s"
"Checkout Image Style","Зображення оформлення замовлення"
"Amount: %s","Вартість: %s"
