" Copy"," Copy"
"Cannot mark as received subscriber","Cannot mark as received subscriber"
"Email","Email"
"Sender Email","Email відправника"
"Enter your email address","Enter your email address"
"ID","ID"
"Newsletter Section","Newsletter Section"
"Newsletter Subscription","Newsletter Subscription"
"Newsletter subscription success","Newsletter subscription success"
"Newsletter unsubscription success","Newsletter unsubscription success"
"Please enter a valid email address","Please enter a valid email address"
"Selected problem subscribers successfully unsubscribed","Selected problem subscribers successfully unsubscribed"
"Sending Options","Sending Options"
"Set Return-Path","Set Return-Path"
"Subscribed","Subscribed"
"Success Email Sender","Success Email Sender"
"Success Email Template","Success Email Template"
"Unsubscribed","Unsubscribed"
"Unsubscription Email Sender","Unsubscription Email Sender"
"Unsubscription Email Template","Unsubscription Email Template"
"Customer","Клієнт"
"Newsletter Subscribers","Клієнти, підписані на інформаційні листи"
"Error Code","Код помилки"
"Duplicate of template code","Копіювати код шаблону"
"Newsletter subscription confirmation","Підтвердження підписки на інформаційний лист"
"Sign me up","Підписатись"
"Subscribe","Підписатись"
"Newsletter Sign-up","Підписатись на інформаційні листи"
"Subscribers","Підписані клієнти"
"Subscribers From","Підписані клієнти від"
"Subscriber","Підписаний клієнт"
"The subscription was successfully saved","Підписка була успішно збережена"
"Newsletter Subscriptions","Підписка на інформаційні листи"
"Sign up for our newsletter:","Підпишіться на наш інформаційний лист:"
"Customer Lastname","Прізвище клієнта"
"Pause","Призупинити"
"Paused","Призупинено"
"Resume","Продовжити"
"Queue Newsletter","Поставити в чергу"
"Message","Повідомлення"
"Back","Повернутись"
"Return Html Version","Повернутись до Html версії"
"Convert to Plain Text","Перетворити на текст без форматування"
"Preview","Перегляд"
"View Newsletter","Перегляд інформаційного листа"
"Newsletter Message Preview","Перегляд повідомлення інформаційного листа"
"Preview Template","Переглянути шаблон"
"Processed","Оброблено"
"Recipients","Одержувачі"
"Date Updated","Оновлено"
"Sending","Надсилається"
"Sent","Надіслано"
"Template Name","Назва шаблону"
"New Template","Новий шаблон"
"New Newsletter Template","Новий шаблон інформаційного листа"
"Not activated","Не активовано"
"No problems found","Не виявлено жодних проблем"
"No subscribers selected","Не вибрано жодного підписаного клієнта"
"No Templates Found","Не знайдено жодного шаблону"
"Not Sent","Не надіслано"
"Invalid subscriber ID","Невірний ID підписаного клієнта"
"Invalid subscription ID","Невірний ID підписки"
"Invalid subscription confirmation code","Невірний код підтвердження підписки"
"Newsletter Problem Reports","Недоставлені інфомаційні листи"
"Cannot delete subscriber","Неможливо видалити  підписаного клієнта"
"Cannot delete template","Неможливо видалити шаблон"
"Cannot save your subscription: %s","Неможливо зберегти Вашу підписку: %s"
"Need to Confirm","Необхідне підтвердження"
"Edit Template","Редагувати шаблон"
"Edit Newsletter Template","Редагувати шаблон інформаційного листа"
"Edit Newsletter","Редагувати інформаційний лист"
"Edit Queue","Редагувати чергу"
"Toggle Editor","Редактор перемикачів"
"Status","Статус"
"Create Newsletter Template","Створити шаблон інформаційного листа"
"Reset","Скинути"
"Type","Тип"
"Template Type","Тип шаблону"
"Error Text","Текст помилки"
"Subject","Тема"
"Template Subject","Тема шаблону"
"Queue Subject","Тема черги"
"Form was filled incorrectly","Форма заповнена невірно"
"Newsletter Queue","Черга"
"Confirmation Email Template","Шаблн листа підтвердження"
"Newsletter Templates","Шаблони"
"Store View","Магазин"
"Queue Finish","Зупинка черги"
"Start","Запуск"
"Queue Start","Запуск черги"
"Confirmation request has been sent","Запит на підтвердження був надісланий"
"Save As","Зберегти як"
"Save Template","Зберегти шаблон"
"Save And Resume","Зберегти і продовжити"
"Save Newsletter","Зберегти інформаційний лист"
"Please enter new template name","Будь-ласка, введіть нову назву шаблону"
"Please select subscriber(s)","Будь-ласка, виберіть підписаних клієнтів"
"There was a problem with the subscription","Відбулась помилка в процесі стоврення підписки"
"There was a problem with the subscription: %s","Відбулась помилка в процесі стоврення підписки: %s"
"There was a problem with the un-subscription.","Відбулась помилка в процесі відміни підписки."
"There was an error while saving your subscription","Відбулась помилка при збереженні Вашої підписки "
"Cancel","Відмінити"
"Unsubscribe","Відмінити підписку"
"Unsubscribe Selected","Відмінити підписку для вибраних клієнтів"
"Cancelled","Відмінено"
"Sender","Відправник"
"Confirmation Email Sender","Відправник листа підтвердження"
"Your subscription was successfully confirmed","Ваша підписка була успішно підтверджена"
"Subscription Options","Варіанти підписки"
"You have been successfully unsubscribed.","Ви успішно відмінили підписку на інформаційний лист."
"Are you sure that you want to strip all tags?","Ви впевнені, що бажаєте скинути всі теги?"
"Are you sure that you want to delete this template?","Ви впевнені, що бажаєте видалити цей шаблон?"
"Do you really want to cancel the queue?","Ви дійсно бажаєте відмінити чергу?"
"Selected problems successfully deleted","Вибрані проблеми були успішно видалені"
"Invalid queue selected","Вибрана невірна черга"
"Delete Template","Видалити шаблон"
"Delete Selected Problems","Видалити вибрані пробелми"
"Template Content","Вміст шаблону"
"Website","Вебсайт"
"Guest","Гість"
"Store","Група магазинів"
"Thank you for your subscription","Дякуємо, за Вашу зацікавленість нашим інформаційним листом"
"Action","Дія"
"Queue Date Start","Дата запуску черги"
"Add to Queue","Додати в чергу"
"Add New Template","Додати новий шаблон"
"Date Added","Додано"
"Sender Name","Ім'я відправника"
"Customer Firstname","Ім'я клієнта"
"Template Information","Інформація про шаблон"
"Queue Information","Інформація про чергу"
"Newsletter","Інформаційний лист"
