"Abandoned carts","Abandoned carts"
"Action","Action"
"Avg. approved rating","Avg. approved rating"
"Avg. rating","Avg. rating"
"CSV","CSV"
"Default Recently Compared Products count","Default Recently Compared Products count"
"Default Recently Viewed Products count","Default Recently Viewed Products count"
"Downloads","Downloads"
"Email","Email"
"Excel","Excel"
"ID","ID"
"Invalid date specified","Invalid date specified"
"Link","Link"
"Number of Ivoiced Orders","Number of Ivoiced Orders"
"Number of Refunded Orders","Number of Refunded Orders"
"Products Sold","Products Sold"
"Purchases","Purchases"
"Rate","Rate"
"Total Invoiced","Total Invoiced"
"Total Invoiced Captured","Total Invoiced Captured"
"Total Invoiced not Captured","Total Invoiced not Captured"
"Bought from wishlists","Куплено зі списку бажань"
"Quantity Ordered","Кількість"
"Number of wishlists: %s","Кількість списків бажань: %s"
"Number of Unique Tags","Кількість унікальних тегів"
"Number of Items","Кількість товарів"
"Quantity of Items","Кількість товарів"
"Number of items bought from a wishlist: %s","Кількість товарів куплених зі списку бажань: %s"
"Number of times deleted","Кількість разів видалення"
"Number of wishlist referrals: %s","Кількість рефералів зі списку бажань : %s"
"Number Of Reviews","Кількість відгуків"
"Number of Reviews","Кількість відгуків"
"Number Of Uses","Кількість використань"
"Number Of Historical Uses","Кількість використання з історії"
"Number Fulfilled","Кількість виконаних"
"Number Added","Кількість доданих"
"Number of Orders","Кількість замовлень"
"Number of wishlist conversions: %s","Кількість конверсій зі списку бажань: %s"
"Stock Qty","Кількість на складі"
"Number of times wishlists have been shared (emailed): %s","Кількість надсилань списку бажань: %s"
"Number of New Accounts","Кількість нових облікових записів"
"Number Purchased","Кількість придбаних товарів "
"Number Viewed","Кількість переглядів"
"Number of Views","Кількість переглядів"
"Customer","Клієнт"
"Customers","Клієнти"
"Customers by orders total","Клієнти за сумою замовлень"
"Customers by number of orders","Клієнти за кількістю замовлень"
"Customers that have wishlist: %s%","Клієнти, що мають списки бажань: %s%"
"Hits","Кліків"
"Shopping Cart","Кошик"
"Carts","Кошики"
"Last Name","Прізвище"
"Revenue","Прибуток"
"Sales","Продажі"
"Search Terms","Пошукові запити"
"Tax","Податок"
"Show for Current","Показати для поточного"
"Popular Tags","Популярні теги"
"Popularity","Популярність"
"Carrier/Method","Перевізник/Метод"
"Last Review","Останній відгук"
"Offline Refunded","Оф-лайнові відшкодування"
"Product Sku","Обліковий номер"
"Online Refunded","Он-лайнові відшкодування"
"Name","Назва"
"Product Name","Назва"
"Tag Name","Назва тегу"
"New Accounts","Нові клієнти"
"Updated at","Новлено"
"Recently Compared Products","Нещодавно порівнювані товари"
"Recently Viewed Products","Нещодавно переглянуті товари"
"Recently Viewed/Compared Products","Нещодавно переглянуті/порівнювані товари"
"Year","Рік"
"Results","Результати"
"Tax Amount","Сума податку"
"Created at","Створено"
"Wishlists","Списки бажань"
"Wishlist vs. Regular Order","Список бажань vs. Звичайне замовлення"
"Coupons","Сертифікати"
"Items in Cart","Товарів в кошику"
"Products","Товари"
"Products in carts","Товари в кошику"
"Low stock","Товари, що завкінчуються на складі"
"Most Viewed","Товари, що найчастіше переглядаються"
"Most viewed","Товари, що найчастіше переглядаються"
"Bestsellers","Товари, що найкраще продаються"
"Tag","Тег"
"Product Tags","Теги товару"
"Products Tags","Теги товарів"
"Tags submited by %s","Теги відправлені %s"
"Tags submitted to %s","Теги відправлені %s"
"Customers Tags","Теги клієнтів"
"Customer Tags","Теги клієнта"
"Price","Ціна"
"Tag ""%s"" details","деталі тегу ""%s"" "
"Month","Місяць"
"Number of Total Tags","Загальна кількість тегів"
"Title","Заголовок"
"Items Ordered","Замовлені товари"
"Orders","Замовлення"
"Poducts Report","Звіт про товари"
"Products Report","Звіт про товари"
"Customers Report","Звіт про клієнтів"
"Sales Report","Звіт про продажі"
"Wishlist Report","Звіт по списку бажань"
"Reports","Звіти"
"Discounts","Знижки"
"Total","Всього"
"Total Tags","Всього тегів"
"Total Refunded","Всього відшкодовано"
"Total refunded","Всього відшкодовано"
"Total Shipping","Всього після доставки"
"Total invoiced","Всього платежів"
"Out of stock","Відсутні на складі"
"Refunded","Відшкодовано"
"Review","Відгук"
"Reviews","Відгуки"
"Customers Reviews","Відгуки клієнтів"
"Reviews for %s","Відгуки про %s"
"Products Reviews","Відгуки про товари"
"Product Reviews","Відгуки про продукти"
"Submitted In","Відправлено"
"Submitted On","Відправлено"
"Your Recently Compared","Ваші нещодавні порівняння"
"Your Recently Viewed","Ваші нещодавні перегляди"
"Subtotal","Вартість"
"Invoiced","Виставлені платежі"
"Visible In","Видимий у"
"Applied Coupon","Використаний сертифікат"
"Tag use","Використання тегу"
"Guest","Гість"
"Shipping","Доставка"
"Add to Cart","Додати в кошик"
"Add to Wishlist","Додати до списку бажань"
"Add to Compare","Додати до порівняння"
"Detail","Деталі"
"Tag Detail","Деталі тегу"
"Day","День"
"First Name","Ім'я"
"Customer Name","Ім'я клієнта"
