" The customer doesn't exist in the system anymore"," The customer doesn't exist in the system anymore"
"""%s"" coupon code is not valid.","""%s"" код сертифікату є невірним."
"%s / %s rate:","%s / %s rate:"
"%s for %s","%s for %s"
"%s order(s) successfully canceled","%s order(s) successfully canceled"
"%s order(s) successfully released from holding status","%s order(s) successfully released from holding status"
"%s order(s) successfully put on hold","%s замовлення призупинено"
"* - Enter custom price excluding tax","* - Enter custom price excluding tax"
"* - Enter custom price including tax","* - Enter custom price including tax"
"Add comment to order","Add comment to order"
"Add Gift Messsage","Add Gift Messsage"
"Add new comment to shipment","Add new comment to shipment"
"Add new tracking number","Add new tracking number"
"Add Products","Add Products"
"Add Selected Product(s) to Option","Add Selected Product(s) to Option"
"Bill to Name","Bill to Name"
"Buy %s for price %s","Buy %s for price %s"
"Can not add order history.","Can not add order history."
"Can not do invoice for order.","Can not do invoice for order."
"Cancel invoice","Cancel invoice"
"Cancel order","Cancel order"
"Cannot create an empty shipment.","Cannot create an empty shipment."
"Capture","Capture"
"Capture Amount","Capture Amount"
"Capture invoice","Capture invoice"
"Capture Offline","Capture Offline"
"Capture Online","Capture Online"
"Change status, add comments","Change status, add comments"
"Comments","Comments"
"Create new invoice for order","Create new invoice for order"
"Create new shipment for order","Create new shipment for order"
"Custom Options","Custom Options"
"Custom Price","Custom Price"
"Customer","Customer"
"Customer's Current Activities","Customer's Current Activities"
"Date of Birth","Date of Birth"
"Default logo, will be used in PDF and HTML documents.<br />(jpeg, tiff, png)","Default logo, will be used in PDF and HTML documents.<br />(jpeg, tiff, png)"
"Description message","Description message"
"Discount%s","Discount%s"
"Display Order ID in Header","Display Order ID in Header"
"Edit Gift Messsage","Edit Gift Messsage"
"Email","Email"
"Email Order Confirmation","Email підтвердження замовлення"
"Enable","Enable"
"Enabled","Enabled"
"Error to show in shopping cart","Error to show in shopping cart"
"Excl. Tax","Excl. Tax"
"Hold order","Hold order"
"ID","ID"
"If empty, the default description above will be used","If empty, the default description above will be used"
"If empty, the default error above will be used","If empty, the default error above will be used"
"Incl. Tax","Incl. Tax"
"Invalid carrier specified.","Invalid carrier specified."
"Invalid item option format","Invalid item option format"
"Invalid renderer model","Invalid renderer model"
"Invalid request for adding product to quote","Invalid request for adding product to quote"
"Invoice and Packing Slip Design","Invoice and Packing Slip Design"
"Invoice can not be canceled","Invoice can not be canceled"
"Invoice can not be captured","Invoice can not be captured"
"Invoice can not be void","Invoice can not be void"
"Invoice cancel problem","Invoice cancel problem"
"Invoice capture problem","Invoice capture problem"
"Invoice void problem","Invoice void problem"
"Item object is not specified.","Item object is not specified."
"Item option with code %s already exist","Item option with code %s already exist"
"Item options declare error","Item options declare error"
"Item ordered qty","Item ordered qty"
"Items options declare error.","Items options declare error."
"Invalid qty to ship for item ""%s""","IНевірна кількість для для поставки товару ""%s"""
"Logo for HTML documents only. If empty, default will be used.<br />(jpeg, gif, png)","Logo for HTML documents only. If empty, default will be used.<br />(jpeg, gif, png)"
"Logo for HTML print view","Logo for HTML print view"
"Logo for PDF print-outs (200x50)","Logo for PDF print-outs (200x50)"
"Minimum amount","Minimum amount"
"Minimum order amount","Minimum order amount"
"Move to Shopping Cart","Move to Shopping Cart"
"Move to Wishlist","Move to Wishlist"
"Multi-address description message","Multi-address description message"
"Multi-address error to show in shopping cart","Multi-address error to show in shopping cart"
"Name","Name"
"No Items","No Items"
"No Items To Refund","No Items To Refund"
"No ordered items","No ordered items"
"No shipping information available","No shipping information available"
"Not Capture","Not Capture"
"Not Notified","Not Notified"
"Item","шт."
"separate by "",""","розділені "","""
"Original Price","Oстаточна ціна"
"Order API","Order API"
"Order Credit Memos","Order Credit Memos"
"Order Date (%s)","Order Date (%s)"
"Order invoice","Order invoice"
"Order Invoices","Order Invoices"
"Order object is not specified.","Order object is not specified."
"Order Shipments","Order Shipments"
"Order shipments","Order shipments"
"Payment Failed","Payment Failed"
"Payment Method:","Payment Method:"
"PDF object is not specified.","PDF object is not specified."
"PDF page object is not specified.","PDF page object is not specified."
"PDF Print-outs","PDF Print-outs"
"Pending Payment","Pending Payment"
"Pending PayPal","Pending PayPal"
"Placed from IP","Placed from IP"
"Please enter positive number in this field.","Please enter positive number in this field."
"Qty to Refund","Qty to Refund"
"Qty to Ship","Qty to Ship"
"Refund Shipping","Refund Shipping"
"Refund Totals","Refund Totals"
"Remove tracking number","Remove tracking number"
"Retrieve invoice info","Retrieve invoice info"
"Retrieve invoice information","Retrieve invoice information"
"Retrieve list of invoices by filters","Retrieve list of invoices by filters"
"Retrieve list of orders by filters","Retrieve list of orders by filters"
"Retrieve list of shipments by filters","Retrieve list of shipments by filters"
"Retrieve order information","Retrieve order information"
"Retrieve orders info","Retrieve orders info"
"Retrieve shipment info","Retrieve shipment info"
"Retrieve shipment information","Retrieve shipment information"
"Return to Stock","Return to Stock"
"Row Subtotal","Row Subtotal"
"New Order RSS","RSS нового замовлення"
"Sales Emails Section","Sales Emails Section"
"Sales Section","Sales Section"
"Save and Close Message","Save and Close Message"
"Send Order Email Copy Method","Send Order Email Copy Method"
"Shipping and Tracking Information","Shipping and Tracking Information"
"Some of the products below don't have all the required options. Please remove them and add again with all the required options.","Some of the products below don't have all the required options. Please remove them and add again with all the required options."
"Sorry, no quotes are available for this order at this time.","Sorry, no quotes are available for this order at this time."
"Source object is not specified.","Source object is not specified."
"Subtotal after discount","Subtotal after discount"
"Subtotal:","Subtotal:"
"Tax Percent","Tax Percent"
"TAX/VAT Number","TAX/VAT Number"
"This message will be shown in shopping cart when subtotal after discount less than minimum amount","This message will be shown in shopping cart when subtotal after discount less than minimum amount"
"Tier Pricing","Tier Pricing"
"Total %d product(s)","Total %d product(s)"
"Total Shipping Charges","Total Shipping Charges"
"Total Tax","Total Tax"
"Tracking","Tracking"
"Unhold order","Unhold order"
"Update Items and Qty's","Update Items and Qty's"
"Validate each address separately in multi-address checkout","Validate each address separately in multi-address checkout"
"Void invoice","Void invoice"
"Purchased On","Куплено"
"Purchased From","Куплено з"
"Purchased from (store)","Куплено з(група магазинів)"
"QTY","Кількість"
"Qty","Кількість"
"Shipping Amount","Кількість товарів для доставки"
"Qty To Add","Кількість товарів для додавання"
"Qty to Invoice","Кількість товарів для оплати"
"Qty Shipped","Кількість доставлених товарів"
"Qty Ordered","Кількість замовлених товарів"
"Qty Invoiced","Кількість оплачених товарів"
"Country","Країна"
"Store Credit","Кредит групи магазинів"
"Click to change shipping method","Клікніть, для зміни методу доставки"
"Shopping Cart","Кошик"
"Adjustment Refund","Корегування відшкодування"
"Adjustment Refund:","Корегування відшкодування:"
"Adjustment Fee","Корегування оплати"
"Adjustment Fee:","Корегування оплати:"
"To","Кому"
"To:","Кому:"
"Send Credit Memo Comment Email Copy To","Копія листа"
