"Actions","Actions"
"ID","ID"
"Products subselection","Products subselection"
"Buy X get Y free (discount amount is Y)","Купіть Х шт. і отримайте У шт. в подарунок (де У - розмір знижки)"
"Quantity in cart","Кількість в кошику"
"Shipping Country","Країна доставки"
"Catalog","Каталог"
"Customer is new buyer: %s","Клієнт є новим покупцем: %s"
"Customer registered: %s","Клієнт зареєстрований: %s"
"Coupon Code","Код сертифікату"
"Coupon code","Код сертифікату"
"Conditions combination","Комбінація умов"
"Product attribute combination","Комбінація атрибутів товару"
"Priority","Пріоритет"
"Shopping Cart Price Rules","Правила ціни кошика"
"Shopping Cart Price Rule","Правило ціни кошика"
"Rule was successfully deleted","Правило було успішно видалено"
"Rule was successfully saved","Правило було успішно збережено"
"Percent of product price discount","Процент знижки ціни продукту"
"Shipping Postcode","Поштовий код доставки"
"Update product's %s %s: %s","Оновити %s %s товару: %s"
"Update the Product","Оновити товар"
"Update prices using the following information","Оновити ціни використовуючи наступну інформацію"
"Public In RSS Feed","Опублікувати в RSS"
"Description","Опис"
"Description: %s","Опис: %s"
"Cart Attribute","Атрибут кошика"
"Active","Активний"
"Promotions","Акції"
"No","Ні"
"By Fixed value","На фікстоване значення"
"By Percentage","На відсоток"
"Rule Name","Назва правила"
"Name: %s","Назва: %s"
"New Rule","Нове правило"
"Inactive","Неактивний"
"Unable to find a page to delete","Неможливо знайти сторінки для видалення"
"NOT LOGGED IN","НЕ ЗАЛОГОВАНІ"
"Shipping State/Province","Рагіон/область доставки"
"Discount amount","Розмір знижки"
"Shipping Region","Регіон доставки"
"Edit Rule","Редагувати правило"
"Edit Rule '%s'","Редагувати правило '%s'"
"Status","Статус"
"The page you are trying to save no longer exists","Сторінку, яку ви намагаєтесь зберегти, більше не існує"
"Payment Method","Спосіб оплати"
"Special price","Спеціальна ціна"
"Yes","Так"
"Conditions","Умови"
"Price in cart","Ціна в кошику"
"Discount Qty Step (Buy X)","Мін. кількість для знижки (Купіть X)"
"Maximum Qty Discount is Applied to","Макс. кількість товару для знижки"
"Shipping Method","Метод доставки"
"Stop further rules processing","Зупинити виконання наступних правил"
"Apply","Застосувати"
"Apply to","Застосувати до"
"Apply the rule only if the following conditions are met (leave blank for all products)","Застосувати правило тільки за умови(залишіть поле пустим якщо правило стосується всіх товарів):"
"Apply the rule to cart items matching the following conditions","Застосувати правило до товарів в кошику, що відповідають таким вимогам"
"Apply the rule only to cart items matching the following conditions (leave blank for all items)","Застосувати правило до товарів в кошику, що відповідають таким вимогам (залишіть поле пустим якщо правило стосується всіх товарів):"
"General Information","Загальна інформація"
"Total Weight","Загальна вага"
"Total Items Quantity","Загальна кількість товару"
"Save Rule","Зберегти правило"
"Fixed amount discount","Знижка на фіксовану суму"
"Fixed amount discount for whole cart","Знижка на фіксовану суму для всього кошика"
"Free shipping","Безкоштовна доставка"
"Subtotal","Всього"
"Row total in cart","Всього в кошику"
"From Date","Від"
"Delete Rule","Видалити правило"
"Uses per coupon","Використань з сертифікатом"
"Uses per customer","Використань клієнтами"
"Customer Groups","Групи клієнтів"
"Date Expire","Дата завершення"
"Expire at: %s","Дата завершення: %s"
"Date Start","Дата початку"
"Start at: %s","Дата початку: %s"
"This rule no longer exists","Дане правило більше не існує"
"For matching items only","Для товарів, що відповідають умовам"
"For shipment with matching items","Для пакунків з товарами, що відповідають умовам"
"To Date","До"
"By Fixed Amount","До фіксованої суми"
"To Fixed Amount","До фіксованої суми"
"To Fixed Value","До фіксованого значення"
"To Percentage","До відсотку"
"To Percentage of the original price","До відсотку ціни по прайсу"
"By Percentage of the original price","До відсотку від ціни по прайсу"
"Add New Rule","Додати нове правило"
"Rule Information","Інформація про правило"
