"Action","Action"
"Add Sitemap","Add Sitemap"
"File ""%s"" cannot be saved. Please, make sure the directory ""%s"" is writeable by web server.","File ""%s"" cannot be saved. Please, make sure the directory ""%s"" is writeable by web server."
"Generate","Generate"
"Google Sitemap Section","Google Sitemap Section"
"ID","ID"
"Please create the specified folder ""%s"" before saving the sitemap.","Please create the specified folder ""%s"" before saving the sitemap."
"Please define correct path","Please define correct path"
"Please make sure that ""%s"" is writable by web-server.","Please make sure that ""%s"" is writable by web-server."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore (_) in the filename. No spaces or other characters are allowed.","Please use only letters (a-z or A-Z), numbers (0-9) or underscore (_) in the filename. No spaces or other characters are allowed."
"Sitemap ""%s"" has been successfully generated","Sitemap ""%s"" has been successfully generated"
"Unable to find a sitemap to generate","Unable to find a sitemap to generate"
"Unable to generate a sitemap","Unable to generate a sitemap"
"Valid values range from 0.0 to 1.0","Valid values range from 0.0 to 1.0"
"Priority","Пріоритет"
"Error Email Recipient","Помилка у Email адресаті"
"Error Email Sender","Помилка у Email відправнику"
"Error Email Template","Помилка у шаблоні Email"
"Sitemap generate Warnings","Попередження при створенні мапи сайту"
"Never","Ніколи"
"Generation Settings","Налаштування створення"
"CMS Pages Options","Налаштування сторінок CMS"
"Categories Options","Налаштування категорій"
"Products Options","Налаштування продуктів"
"New Sitemap","Нова мапа сайту"
"Unable to find a sitemap to delete","Неможливо знайти мапу сайту для видалення"
"Edit Sitemap","Редагувати мапу сайту"
"Enabled","Увімкнено"
"Last Time Generated","Час останнього створення"
"Frequency","Частота"
"Path","Шлях"
"Weekly","Щотижнево"
"Yearly","Щорічно"
"Hourly","Щогодини"
"Daily","Щоденно"
"Monthly","Щомісячно"
"Filename","назва файлу"
"Store View","Магазин"
"Sitemap","Мапа сайту"
"Google Sitemap","Мапа сайту Google"
"Sitemap was successfully deleted","Мапа сайту була успішно видалена"
"Sitemap was successfully saved","Мапа сайту була успішно збережена"
"Priority must be between 0 and 1","Межі пріоритету повинні бути встановлені від 0 до 1"
"Always","Завжди"
"Start Time","Дата початку"
"This sitemap no longer exists","Дана мапа сайту більше не існує"
"Link for Google","Лінк для Google"
