"# of Uses","# of Uses"
"%s tag(s) have been accepted for moderation","%s tag(s) have been accepted for moderation"
"CSV","CSV"
"Email","Email"
"ID","ID"
"Search Terms","Search Terms"
"Tag ""%s"" has already been added to the product","Tag ""%s"" has already been added to the product"
"View All","View All"
"XML","XML"
"Your tag was successfully deleted","Your tag was successfully deleted"
"Your tag was successfully saved","Your tag was successfully saved"
"Country","Кріїна"
"Customer Since","Клієнт починаючи з"
"Customers","Клієнти"
"Click on a tag to view your corresponding products.","Клікніть на тегу, щоб побачити Ваші пов'язані товари."
"Approved","Підтверджено"
"Last Name","Прізвище"
"ZIP/Post Code","Поштовий код"
"Back","Повернутись"
"Back to Tags List","Повернутись до списку тегів"
"Back to view Tag","Повернутись до перегляду тегів"
"Tagged in","Позначено в"
"Popular","Популярні"
"Popular Tags","Популярні теги"
"Popularity","Популярність"
"View Products","Переглянути товари"
"View All Tags","Переглянути всі теги"
"SKU","Обліковий номер"
"Product SKU","Обліковий номер товару"
"No matches found.","Нічого не знайдено."
"Name","Назва"
"Product Name","Назва товару"
"Tag Name","Назва тегу"
"Tag Name: %s","Назва тегу: %s"
"New Tag","Новий тег"
"Disabled","Не показувати"
"Unable to remove tag. Please, try again later.","Неможливо видалити тег. Будь-ласка, спробуйте ще раз пізніше."
"Unable to save tag(s)","Неможливо зберегти тег(и)"
"Unable to save your tag. Please, try again later.","Неможливо зберегти Ваш тег. Будь-ласка, спробуйте ще раз пізніше."
"Edit Tag","Редагувати тег"
"Edit Tag '%s'","Редагувати тег '%s'"
"Search Results for '%s' (<a href='%s'>RSS</a>)","Результати пошуку для '%s' (<a href='%s'>RSS</a>)"
"Status","Статус"
"List","Список"
"Grid","Таблиця"
"Products","Товари"
"Products Tagged with '%s'","Товари позначені як '%s'"
"Products tagged with '%s'","Товари позначені як '%s'"
"Products tagged with '%s' (<a href='%s'>RSS</a>)","Товари позначені як '%s' (<a href='%s'>RSS</a>)"
"Tag","Тег"
"Tag can't be empty.","Тег не може бути пустим."
"Tags","Теги"
"Product Tags","Теги товарів"
"Pending Tags","Теги в очікуванні"
"Tags Aren't Available","Теги недоступні"
"Tags:","Теги:"
"Telephone","Телефон"
"Price","Ціна"
"My Tags","Мої теги"
"My Recent Tags","Мої нещодавні теги"
"General Information","Загальна інформація"
"Save Tag","Зберегти тег"
"Change status","Змінити статус"
"Unable to find any products tagged with '%s' in the current store","В цій групі магазинів неможливо знайти товарів, позначених тегом '%s' "
"Pending","В очікуванні"
"All Tags","Всі теги"
"View Customers","Всі клієнти"
"Customers Tagged '%s'","Відзначено клієнтами як '%s'"
"Are you sure that you want to delete this tag?","Ви впевнені, що бажаєте видалити цей тег?"
"Are you sure you want to delete this tag?","Ви впевнені, що бажаєте видалити цей тег?"
"Are you sure you want to do this?","Ви впевнені?"
"Are you sure?","Ви впевнені?"
"You have not tagged any products yet.","Ви не відзначенили тегом жодного продукту."
"Delete","Видалити"
"Delete Tag","Видалити тег"
"Visible In","Видимий у"
"Uses","Використання"
"Use spaces to separate tags. Use single quotes (') for phrases.","Використовуйте пробіли для розділення тегів. Для фраз використовуйте одиничні лапки (') ."
"Thank you. Your tag has been accepted for moderation.","Дякуємо Вам. Ваш тег був надісланей на модерацію."
"Action","Дія"
"Actions","Дії"
"Add Tags","Додати теги"
"Add to Cart","Додати в кошик"
"Add to Wishlist","Додати до списку бажань"
"Add New Tag","Додати новий тег"
"Add Your Tags:","Додати Ваші теги:"
"First Name","Ім'я"
"Other people marked this product with these tags:","Інші користувачі позначили цей товар такими тегами:"
"Tag Information","Інформація про тег"
"Block Information","Інформація про блок"
