"-- Please Select --","-- Please Select --"
"Apply Discount On Prices Including Tax","Apply Discount On Prices Including Tax"
"Apply Tax After Discount","Apply Tax After Discount"
"Apply Tax On","Apply Tax On"
"Calculation","Calculation"
"Catalog prices include tax","Catalog prices include tax"
"Code","Code"
"Country/Region/Postal code combination","Country/Region/Postal code combination"
"CSV","CSV"
"Custom price if available","Custom price if available"
"Default Country","Default Country"
"Default Post Code","Default Post Code"
"Default State","Default State"
"Default Tax Origin Calculation","Default Tax Origin Calculation"
"Display","Display"
"Display Cart/Order Prices","Display Cart/Order Prices"
"Display full tax summary","Display full tax summary"
"Display Product Prices","Display Product Prices"
"Display Shipping Prices","Display Shipping Prices"
"Display Zero Tax Subtotal","Display Zero Tax Subtotal"
"Error while saving this tax rule. This product tax class, customer tax class and tax rate combination","Error while saving this tax rule. This product tax class, customer tax class and tax rate combination"
"Excl. Tax:","Excl. Tax:"
"Excluding tax","Excluding tax"
"Ignored when 'Apply Tax After Discount' option is enabled","Ignored when 'Apply Tax After Discount' option is enabled"
"Incl. Tax:","Incl. Tax:"
"Including and excluding tax","Including and excluding tax"
"Including tax","Including tax"
"Manage Tax Zones & Rates","Manage Tax Zones & Rates"
"Name","Name"
"None","None"
"One of the country has invalid code.","One of the country has invalid code."
"Original price only","Original price only"
"Priority","Priority"
"Rate","Rate"
"Shipping prices include tax","Shipping prices include tax"
"Sort Order","Sort Order"
"Tax Based On","Tax Based On"
"Tax Class for Shipping","Tax Class for Shipping"
"Tax Classes","Tax Classes"
"Tax Identifier","Tax Identifier"
"Tax rates at the same priority are added, others are compounded.","Tax rates at the same priority are added, others are compounded."
"Tax Section","Tax Section"
"Tax Titles","Tax Titles"
"XML","XML"
"Country","Країна"
"Product Tax Class","Клас податку товару"
"Tax class was successfully deleted","Клас податку був успішно видалений"
"Tax class was successfully saved","Клас податку був успішно збережений"
"Customer Tax Class","Клас податку клієнта"
"Manage Product Tax Classes","Класи податку товару"
"Product Tax Classes","Класи податку товару"
"Manage Customer Tax Classes","Класи податку клієнта"
"Customer Tax Classes","Класи податків клієнта"
"Tax Rules","Правиила податку"
"Manage Tax Rules","Правила"
"Tax rule was successfully deleted","Правило податку було успішно видалено"
"Tax rule was successfully saved","Правило податку було успішно збережено"
"Sales","Продажі"
"Zip/Post Code","Поштовий код"
"Back","Повернутись"
"Tax","Податки"
"Error while deleting this class. Please try again later.","Помилка видалення цього класу. Будь-ласка, спробуйте ще раз пізніше."
"Error while deleting this tax rule. Please try again later.","Помилка при видалені цього правила податку. Будь-ласка, спробуйте ще раз пізніше."
"Error while deleting this rate. Incorrect rate ID","Помилка при видалені цієї ставки. Невірний ID ставки"
"Error while deleting this rate. Please try again later.","Помилка при видалені цієї ставки. Будь-ласка, спробуйте ще раз пізніше."
"Error while saving this tax class. Please try again later.","Помилка при збереженні цього класу податку. Будь-ласка, спробуйте ще раз пізніше."
"Error while saving this tax class. Class with the same name ","Помилка при збереженні цього класу податку. В системі вже існує клас з такою назвою"
"Error while saving this tax rule. Please try again later.","Помилка при збереженні цього правила податку. Будь-ласка, спробуйте ще раз пізніше."
"Error while saving this rate. Please try again later.","Помилка при збереженні цієї ставки. Будь-ласка, спробуйте ще раз пізніше."
"Class Name","Назва класу"
"New Tax Rate","Нова ставка подаку"
"New Class","Новий клас"
"New Rule","Нове правило"
"Excl. Tax","Не вкл. податки"
"Incorrect rate Data","Невірні дані ставки"
"Invalid data for tax rate calculation","Невірні дані для підрахунку ставки податку"
"State","Регіон"
"State/Region","Регіон/Область"
"Edit Tax Rate","Редагувати ставку податку"
"Edit Class","Редагувати клас"
"Edit Class '%s'","Редагувати клас '%s'"
"Edit Rule","Редагувати правло"
"Tax Rate","Ставка податку"
"Tax rate was successfully imported","Ставка податку була успішно імпортована"
"Tax rate was successfully deleted","Ставка податку була успішно видалена"
"Tax rate was successfully saved","Ставка податку була успішно збережена"
"Manage Tax Rates","Ставки податку"
"Reset","Скинути"
"This class no longer exists","Цього класу більше не існує"
"This rule no longer exists","Цього правила більше не існує"
"Save Rate","Зберегти ставку"
"Save Class","Зберегти клас"
"Save Rule","Зберегти правило"
"Invalid file format upload attempt","Ви спробували завантажити файл невірного формату"
"Invalid file upload attempt","Ви спробували завантажити невірний файл"
"Are you sure you want to do this?","Ви впевнені?"
"You cannot delete this tax class as it is used for %d products.","Ви не можете видалити цей клас податку, оскільки він використовується в %d товарах."
"You cannot delete this tax class as it is used for %d customer groups.","Ви не можете видалити цей клас податку, оскільки він використовується в %d групах клієнтів."
"You cannot delete this tax class as it is used in Tax Rules. You have to delete the rules it is used in first.","Ви не можете видалити цей клас податку, оскільки він використовується в правилах податку. Спершу видаліть ці правила."
"Please select State","Виберіть регіон"
"Please select County","Виберіть графство"
"Please select Country","Виберіть країну"
"Delete Class","Видалити клас"
"Delete Rate","Видалити правило"
"Delete Rule","Видалити правило"
"Inc. Tax","Вкл. податки"
"Incl. Tax","Вкл. податки"
"County","Графство"
"Add New Class","ДОдати новий клас"
"Add New Tax Rate","Додати нову ставку податку"
"Add New Tax Rule","Додати нове правило податку"
"Import Tax Rates","Імпорт ставок податку"
"Import / Export Tax Rates","Імпорт/ Експорт ставок податку"
"Tax Rate Information","Інформація про ставку податку"
"Product Tax Class Information","Інформація про клас податку товару"
"Customer Tax Class Information","Інформація про клас податку клієнта "
"Tax Rule Information","Інформація про правило податку"
"Export Tax Rates","Експорт ставок податку"
